BARRIO,Lon,Lat
aguasfrias,-75.62286007090908,6.233651812727271
aldeapablovi,-75.5421516738889,6.287373122222222
alejandria,-75.57008856715784,6.2012785461052715
alejandroechavarria,-75.5463867080899,6.237354608820215
alfonsolopez,-75.57478651539873,6.2836499101840495
altamira,-75.58197619535711,6.279630882410717
altavista,-75.60675493000001,6.224504781111112
altosdelpoblado,-75.55263744404766,6.210276348571429
andalucia,-75.55509592463416,6.2981851546341465
antonionariño,-75.621176372439,6.257445803902438
aranjuez,-75.56178227874997,6.280458077375
areadeexpansionaltavista,-75.61366980666668,6.2213944225
areadeexpansionaltosdecalasanz,-75.60561286526315,6.269662552105263
areadeexpansionbelenrincon,-75.60811233571428,6.215847128571428
areadeexpansionpajarito,-75.61378292388572,6.283721255714281
areadeexpansionsanantoniodeprado,-75.654135200625,6.179621971875
asomaderano1,-75.56412939089286,6.227603670952373
asomaderano2,-75.56184906120305,6.216421235488717
asomaderano3,-75.55881880421053,6.217186244736843
astorga,-75.57306480451611,6.209330986774195
auresno1,-75.5938452755128,6.285128885512822
auresno2,-75.59186132920352,6.287793682920354
barriocaicedo,-75.55388353626506,6.24227495951807
barriocolombia,-75.57417363140075,6.226737807003888
barriocolon,-75.56887816473643,6.242656533079752
barriocristobal,-75.6094758152174,6.2484000713043475
barriodejesus,-75.53619071626163,6.230375876355146
batallongirardot,-75.54728069666666,6.260184176666667
bcerroelvolador,-75.58386475186042,6.263648883255814
belalcazar,-75.56596058121427,6.296412631285714
belen,-75.59981955519181,6.231907355373727
belencito,-75.61796992666667,6.247622120952382
bellohorizonte,-75.58954993707317,6.282376107804878
berlin,-75.55566886368928,6.284960087087379
bermejal-losalamos,-75.56491194837211,6.280491840930233
betania,-75.62136017666667,6.244517044999999
blanquizal,-75.60498771,6.274788435625
bolivariana,-75.5903736583069,6.245696199576715
bombonano1,-75.56283463044605,6.243155655501856
bombonano2,-75.54509359425532,6.228185108510639
bosquesdesanpablo,-75.58095723904765,6.275131937460317
boston,-75.55926942563545,6.2475647925419695
boyaca,-75.56562046719627,6.3038169365420575
brasilia,-75.55936625107145,6.273909981249997
buenosaires,-75.55638687813467,6.239961440984457
bugapatiobonito,-75.6355213875,6.2218976525
cabecerasanantoniodeprado,-75.64598288194257,6.177383631337578
cabeceraurbanasancristobal,-75.63348457693878,6.2785210689795905
calasanz,-75.59820476660379,6.262978112578614
calasanzpartealta,-75.60143812869565,6.266372425543482
callenueva,-75.5740160117355,6.239878885427003
campoalegre,-75.61177131543305,6.2537238396063
campoamor,-75.58180822293174,6.213065465636726
campovaldesno1,-75.55669872646251,6.27270901241496
campovaldesno2,-75.55265304620882,6.272583262802192
caribe,-75.57412359512365,6.268624510456789
carloserestrepo,-75.5803354194291,6.256553918979232
carpinelo,-75.53917862153845,6.287746105000002
castilla,-75.57147455335607,6.289435715873013
castropol,-75.56834718473688,6.2194000055465555
cataluña,-75.55164559548389,6.231140834838708
cementeriouniversal,-75.57370323688886,6.276640056666664
centroadministrativo,-75.57473372235297,6.242519725147055
cerronutibara,-75.57785775934573,6.233917103878499
corazondejesus,-75.5774047972199,6.249475614294593
cordoba,-75.57744416683167,6.279570994455443
cristorey,-75.58461119691091,6.205419449842927
cuartabrigada,-75.58808103190262,6.260369571858413
cucaracho,-75.60315802881082,6.279870408594597
diegoechavarria,-75.59583376321429,6.213730800892859
docedeoctubreno1,-75.57917670104165,6.306307856979166
docedeoctubreno2,-75.58008451225807,6.300553587956992
eduardosantos,-75.62760263750002,6.2583859508333335
elastillero,-75.673553435,6.234657825
elcastillo,-75.57475631816897,6.192842794788731
elchagualo,-75.57138784181045,6.260393849683914
elcompromiso,-75.54388613913045,6.287506873478261
elcorazon,-75.62505734208334,6.246874072500002
elcorazonelmorro,-75.63550774,6.24651074
eldanubio,-75.60859434220589,6.252341683235294
eldiamante,-75.58628741860463,6.2848871659302326
eldiamanteno2,-75.57509371666666,6.186652636833331
elestadio,-75.59567320349468,6.259641645322576
elllanose,-75.50466581,6.19284789
elnogal-losalmendros,-75.59530168291144,6.23754508544304
elpesebre,-75.5975941881132,6.272325346037735
elpicacho,-75.58855297,6.293632700000001
elpinal,-75.54597070377194,6.243220501842109
elpoblado,-75.56887190117475,6.209549197486334
elpomar,-75.55323926053332,6.2679481762666605
elprogreso,-75.57719331915449,6.273415688338209
elprogresono2,-75.58310866684212,6.306339648421052
elraizal,-75.54671105153847,6.268737722769234
elrincon,-75.60272798796878,6.211564050572911
elrodeo,-75.59465440242425,6.20497012969697
elsalado,-75.62904229304348,6.251481989565218
elsalvador,-75.56261425240737,6.2367855537037045
elsocorro,-75.617499256,6.259966793999999
eltesoro,-75.55857860164473,6.201434047302627
eltriunfo,-75.5849562075,6.307817120833334
elvelodromo,-75.59666386426468,6.253933371250002
elvergel,-75.64867521,6.17029132
enciso,-75.5515205935294,6.248918259747899
estacionvilla,-75.56954588096649,6.255947063781509
facultaddeminasunacional,-75.59270973304346,6.27333916027173
facultadveterinariayzootecniaudea,-75.58900718965518,6.271232340689655
fatima,-75.58512254609869,6.234373355515694
ferrini,-75.59704591968253,6.268210604126987
florencia,-75.56713883000003,6.309694859193549
floridanueva,-75.59076573759164,6.250125498010472
franciscoantoniozea,-75.57262493677776,6.285055503888882
fuenteclara,-75.60524415282052,6.276626846666665
